hand,num_opponents,equity,iters
J5o,3,0.206855,200000
J5o,4,0.160497,200000
J5o,5,0.127186,200000
J5o,6,0.106459,200000
J5o,7,0.088933,200000
J5o,8,0.077238,200000
J5s,1,0.499877,200000
J5s,2,0.328802,200000
J5s,3,0.247696,200000
J5s,4,0.200538,200000
J5s,5,0.168697,200000
J5s,6,0.1466,200000
J5s,7,0.129942,200000
J5s,8,0.117091,200000
J6o,1,0.478595,200000
J6o,2,0.298809,200000
J6o,3,0.214851,200000
J6o,4,0.165311,200000
J6o,5,0.132275,200000
J6o,6,0.108764,200000
J6o,7,0.091876,200000
J6o,8,0.079583,200000
J6s,1,0.509583,200000
J6s,2,0.334008,200000
J6s,3,0.253147,200000
J6s,4,0.205253,200000
J6s,5,0.17248,200000
J6s,6,0.150689,200000
J6s,7,0.133574,200000
J6s,8,0.120279,200000
J7o,1,0.49655,200000
J7o,2,0.321013,200000
J7o,3,0.233938,200000
J7o,4,0.184475,200000
J7o,5,0.148698,200000
J7o,6,0.125536,200000
J7o,7,0.105932,200000
J7o,8,0.092611,200000
J7s,1,0.523293,200000
J7s,2,0.354093,200000
J7s,3,0.270506,200000
J7s,4,0.220497,200000
J7s,5,0.188024,200000
J7s,6,0.163152,200000
J7s,7,0.146739,200000
J7s,8,0.131927,200000
J8o,1,0.516073,200000
J8o,2,0.343012,200000
J8o,3,0.257166,200000
J8o,4,0.203174,200000
J8o,5,0.165844,200000
J8o,6,0.14214,200000
J8o,7,0.121446,200000
J8o,8,0.104645,200000
J8s,1,0.539245,200000
J8s,2,0.372768,200000
J8s,3,0.290393,200000
J8s,4,0.24156,200000
J8s,5,0.204334,200000
J8s,6,0.179875,200000
J8s,7,0.158158,200000
J8s,8,0.145195,200000
J9o,1,0.531068,200000
J9o,2,0.364615,200000
J9o,3,0.280338,200000
J9o,4,0.225788,200000
J9o,5,0.188563,200000
J9o,6,0.158701,200000
J9o,7,0.137603,200000
J9o,8,0.122269,200000
J9s,1,0.556295,200000
J9s,2,0.394667,200000
J9s,3,0.312455,200000
J9s,4,0.261389,200000
J9s,5,0.223563,200000
J9s,6,0.196932,200000
J9s,7,0.176379,200000
J9s,8,0.159827,200000
JJ,1,0.775423,200000
JJ,2,0.611693,200000
JJ,3,0.49229,200000
JJ,4,0.403183,200000
JJ,5,0.337537,200000
JJ,6,0.283358,200000
JJ,7,0.247524,200000
JJ,8,0.215839,200000
JTo,1,0.55155,200000
JTo,2,0.391867,200000
JTo,3,0.305689,200000
JTo,4,0.253416,200000
JTo,5,0.215324,200000
JTo,6,0.187463,200000
JTo,7,0.163557,200000
JTo,8,0.144931,200000
JTs,1,0.575455,200000
JTs,2,0.421814,200000
JTs,3,0.337363,200000
JTs,4,0.286641,200000
JTs,5,0.250197,200000
JTs,6,0.219794,200000
JTs,7,0.197675,200000
JTs,8,0.180097,200000
K2o,1,0.50422,200000
K2o,2,0.311249,200000
K2o,3,0.217918,200000
K2o,4,0.170147,200000
K2o,5,0.139015,200000
K2o,6,0.115509,200000
K2o,7,0.098996,200000
K2o,8,0.085902,200000
K2s,1,0.531835,200000
K2s,2,0.34927,200000
K2s,3,0.261728,200000
K2s,4,0.214297,200000
K2s,5,0.182259,200000
K2s,6,0.160293,200000
K2s,7,0.143753,200000
K2s,8,0.129795,200000
K3o,1,0.512713,200000
K3o,2,0.321789,200000
K3o,3,0.228462,200000
K3o,4,0.175973,200000
K3o,5,0.141804,200000
K3o,6,0.119694,200000
K3o,7,0.102428,200000
K3o,8,0.088676,200000
K3s,1,0.542185,200000
K3s,2,0.356698,200000
K3s,3,0.267788,200000
K3s,4,0.218145,200000
K3s,5,0.185393,200000
K3s,6,0.163466,200000
K3s,7,0.145361,200000
K3s,8,0.131557,200000
K4o,1,0.524245,200000
K4o,2,0.329904,200000
K4o,3,0.237223,200000
K4o,4,0.181604,200000
K4o,5,0.149477,200000
K4o,6,0.124341,200000
K4o,7,0.10551,200000
K4o,8,0.091759,200000
K4s,1,0.548257,200000
K4s,2,0.364719,200000
K4s,3,0.27654,200000
K4s,4,0.223073,200000
K4s,5,0.191436,200000
K4s,6,0.166361,200000
K4s,7,0.148721,200000
K4s,8,0.134347,200000
K5o,1,0.532558,200000
K5o,2,0.340402,200000
K5o,3,0.241211,200000
K5o,4,0.187504,200000
K5o,5,0.151538,200000
K5o,6,0.127321,200000
K5o,7,0.109223,200000
K5o,8,0.094057,200000
K5s,1,0.556702,200000
K5s,2,0.375678,200000
K5s,3,0.281481,200000
K5s,4,0.230038,200000
K5s,5,0.193356,200000
